Notti;Periodo;"Room Night";"Room Night Totali";Pickup;"Lead Time Medio";Occupazione(%);"Occupazione Persone Media";"Non Classificato";Ristorante;"Spa
";Pernotto;Altro;Sconti;"City Tax";RevPar;ADR;"Ricavo medio prenotazione";Totale;"Totale senza imposta"
1,00;"Gi 28 Ago 2025";25,00;25,00;25,00;"2 mesi 8 giorni 0 ore";100,00;2,20;0,00;550,00;130,00;4.854,77;61,50;0,00;120,00;194,19;194,19;228,65;5.716,27;5.596,27
1,00;"Ve 29 Ago 2025";25,00;25,00;23,00;"1 mesi 21 giorni 0 ore";100,00;2,16;0,00;565,00;310,00;5.247,99;30,00;0,00;120,00;209,92;209,92;250,92;6.272,99;6.152,99
1,00;"Sa 30 Ago 2025";24,00;25,00;15,00;"1 mesi 19 giorni 0 ore";96,00;2,33;0,00;504,50;220,00;5.886,42;613,00;0,00;120,00;235,46;245,27;306,00;7.343,92;7.223,92
1,00;"Do 31 Ago 2025";25,00;25,00;25,00;"1 mesi 24 giorni 0 ore";100,00;2,16;0,00;599,50;340,00;4.262,43;33,50;0,00;122,50;170,50;170,50;214,32;5.357,93;5.235,43
1,00;"Lu 01 Set 2025";24,00;25,00;27,00;"1 mesi 11 giorni 0 ore";96,00;2,13;0,00;680,00;160,00;4.344,41;7,00;0,00;117,50;173,78;181,02;221,20;5.308,91;5.191,41
1,00;"Ma 02 Set 2025";22,00;25,00;25,00;"2 mesi 26 giorni 0 ore";88,00;2,09;0,00;629,00;340,00;4.319,71;0,00;0,00;110,00;172,79;196,35;245,40;5.398,71;5.288,71
1,00;"Me 03 Set 2025";25,00;25,00;26,00;"2 mesi 4 giorni 0 ore";100,00;2,00;0,00;531,00;280,00;5.414,14;10,00;-134,38;120,00;216,57;216,57;248,83;6.220,76;6.100,76
1,00;"Gi 04 Set 2025";25,00;25,00;36,00;"4 mesi 9 giorni 0 ore";100,00;2,04;0,00;554,50;0,00;5.459,10;24,00;-24,00;122,50;218,36;218,36;245,44;6.136,10;6.013,60
1,00;"Ve 05 Set 2025";25,00;25,00;25,00;"1 mesi 13 giorni 0 ore";100,00;2,00;-0,98;520,50;460,00;6.070,49;0,00;0,00;120,00;242,82;242,82;286,80;7.170,01;7.050,01
1,00;"Sa 06 Set 2025";25,00;25,00;36,00;"0 mesi 25 giorni 0 ore";100,00;1,92;0,00;499,00;280,00;6.184,93;54,00;-118,13;112,50;247,40;247,40;280,49;7.012,30;6.899,80
1,00;"Do 07 Set 2025";25,00;25,00;22,00;"0 mesi 28 giorni 0 ore";100,00;1,92;0,00;480,00;190,00;4.684,82;70,00;-45,38;110,00;187,39;187,39;219,58;5.489,44;5.379,44
1,00;"Lu 08 Set 2025";25,00;25,00;25,00;"1 mesi 11 giorni 0 ore";100,00;1,92;-0,67;574,50;300,00;4.029,11;11,00;0,00;115,00;161,16;161,16;201,16;5.028,94;4.913,94
1,00;"Ma 09 Set 2025";25,00;25,00;23,00;"2 mesi 4 giorni 0 ore";100,00;2,08;0,00;550,00;240,00;4.845,51;49,50;0,00;122,50;193,82;193,82;232,30;5.807,51;5.685,01
1,00;"Me 10 Set 2025";24,00;25,00;18,00;"2 mesi 0 giorni 0 ore";96,00;2,00;0,00;612,50;900,00;4.722,66;26,00;0,00;112,50;188,91;196,78;265,57;6.373,66;6.261,16
1,00;"Gi 11 Set 2025";25,00;25,00;16,00;"1 mesi 21 giorni 0 ore";100,00;2,04;0,00;607,50;540,00;5.113,66;4,00;0,00;117,50;204,55;204,55;255,31;6.382,66;6.265,16
1,00;"Ve 12 Set 2025";25,00;25,00;18,00;"1 mesi 14 giorni 0 ore";100,00;1,92;0,00;567,00;60,00;5.790,48;28,00;0,00;112,50;231,62;231,62;262,32;6.557,98;6.445,48
1,00;"Sa 13 Set 2025";25,00;25,00;27,00;"1 mesi 13 giorni 0 ore";100,00;2,08;0,00;496,00;640,00;6.332,28;5,00;0,00;120,00;253,29;253,29;303,73;7.593,28;7.473,28
1,00;"Do 14 Set 2025";25,00;25,00;27,00;"0 mesi 28 giorni 0 ore";100,00;2,16;0,00;501,00;420,00;4.874,26;0,00;0,00;125,00;194,97;194,97;236,81;5.920,26;5.795,26
1,00;"Lu 15 Set 2025";25,00;25,00;24,00;"2 mesi 19 giorni 0 ore";100,00;2,16;0,00;695,00;140,00;5.100,27;104,00;0,00;125,00;204,01;204,01;246,57;6.164,27;6.039,27
